Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote,,
DSS,"Document Security Systems, Inc.",3.88,80455680,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dss,,
RVR,"White River Capital, Inc.",22.64,80258800,n/a,1984,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/rvr,,
NWI,Nuveen Maryland Dividend Advantage Municipal Fund 3,14.69,78826540,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nwi,,
NBO,Neuberger Berman New York Intermediate Municipal Fund Inc.,15.47,78077090,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nbo,,
PIP,"PharmAthene, Inc",1.59,76852650,n/a,1973,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/pip,,
TSH,Teche Holding Company,37.1,75943700,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/tsh,,
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc",15.69,75892530,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vcf,,
CDY,Cardero Resource Corporation,0.82,75044760,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/cdy,,
VFL,Delaware Investments Florida Insured Municipal Income Fund,13.38,73897740,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/vfl,,
EMAN,eMagin Corporation,3.11,73203180,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman,,
WRN,Western Copper and Gold Corporation,0.78,72542340,n/a,1994,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/wrn,,
MXA,Minnesota Municipal Income Portfolio Inc.,17.36,71991920,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mxa,,
EGT,Entertainment Gaming Asia Incorporated,2.4,71810400,n/a,n/a,Consumer Durables,Miscellaneous manufacturing industries,http://www.nasdaq.com/symbol/egt,,
NUJ,Nuveen New Jersey Dividend Advantage Municipal Fund 2,15.5706,70425823.8,n/a,1991,n/a,n/a,http://www.nasdaq.com/symbol/nuj,,
MDGN,"Medgenics, Inc.",7.15,69876950,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/mdgn,,
FRD,Friedman Industries Inc.,10.21,69417790,n/a,1972,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd,,
OFI,"Overhill Farms, Inc.",4.3,68038900,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/ofi,,
NKG,Nuveen Georgia Dividend Advantage Municipal Fund 2,14.9148,67936914,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nkg,,
NXI,Nuveen Ohio Dividend Advantage Municipal Fund,15.98,67867060,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nxi,,
MZA,"MuniYield Arizona Fund, Inc.",14.78,67455920,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mza,,
QMM,Quaterra Resources Inc,0.44,67035320,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/qmm,,
EVJ,Eaton Vance New Jersey Municipal Income Trust,14.22,66336300,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj,,
SYN,"Synthetic Biologics, Inc",2,66032000,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/syn,,
LON,Loncor Resources Inc.,1.11,65872950,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/lon,,
EVBN,"Evans Bancorp, Inc.",15.85,65555600,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn,,
BZC,Breeze-Eastern Corporation,6.79,64437100,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/bzc,,
SVBL,"Silver Bull Resources, Inc.",0.47,63995200,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/svbl,,
ELLO,Ellomay Capital Ltd.,5.85,62823150,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/ello,,
NZR,Nuveen Maryland Dividend Advantage Municipal Fund 2,14.9001,62625120.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nzr,,
BQI,Oilsands Quest Inc,0.179,62417121,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/bqi,,
NFM,Nuveen Maryland Dividend Advantage Municipal Fund,14.8,62115600,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nfm,,
GLU,Gabelli Global Utility,20.068,61789372,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/glu,,
NGO,Nuveen Connecticut Dividend Advantage Municipal Fund 3,14.1032,61588674.4,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ngo,,
NII,Nuveen North Carolina Dividend Advantage Municipal Fund 3,15.52,61102240,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nii,,
IEC,IEC Electronics Corp.,6.15,61020300,n/a,n/a,Technology,Electrical Products,http://www.nasdaq.com/symbol/iec,,
NBS,"Neostem, Inc.",0.46,60997380,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/nbs,,
NNO,Nuveen North Carolina Dividend Advantage Municipal Fund 2,15.99,60010470,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nno,,
SLI,"SL Industries, Inc.",13.48,59824240,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sli,,
GLOW,"Glowpoint, Inc.",2.29,59054520,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow,,
BONE,"Bacterin International Holdings, Inc.",1.39,58972140,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bone,,
ESP,Espey Mfg. & Electronics Corp.,25.33,58790930,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp,,
NPG,Nuveen Georgia Premium Income Municipal Fund,15.29,58209030,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/npg,,
ATL,Atlatsa Resources Corporation,0.285,57538080,n/a,1986,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/atl,,
KBX,Kimber Resources Inc,0.74,57116900,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/kbx,,
RLGT,"Radiant Logistics, Inc.",1.7283,56797122.9,n/a,n/a,Transportation,Oil Refining/Marketing,http://www.nasdaq.com/symbol/rlgt,,
HUSA,Houston American Energy Corporation,1.51,56421150,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa,,
AA^,Alcoa Inc.,82.95,54747000,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/aa^,,
CMT,Core Molding Technologies Inc,7.46,54495300,n/a,1992,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/cmt,,
GV,Goldfield Corporation (The),2.14,54465140,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/gv,,
FLL,"Full House Resorts, Inc.",2.91,54341340,n/a,n/a,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/fll,,
INO,"Inovio Pharmaceuticals, Inc.",0.4025,54324620,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ino,,
GRH,GreenHunter Energy Inc,1.93,54192470,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/grh,,
NVY,Nuveen Pennsylvania Dividend Advantage Municipal Fund 2,14.53,54138780,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/nvy,,
NCB,Nuveen California Municipal Value Fund 2,16.36,53791680,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ncb,,
MSN,Emerson Radio Corporation,1.95,52903500,n/a,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn,,
ISL,"Aberdeen Israel Fund, Inc.",12.21,52173330,n/a,1992,n/a,n/a,http://www.nasdaq.com/symbol/isl,,
VRNG,"Vringo, Inc.",3.67,51600200,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/vrng,,
NRK,Nuveen New York AMT-Free Municipal Income Fund,14.4848,50798193.6,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nrk,,
TCX,Tucows Inc.,1.09,50399420,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/tcx,,
NGB,Nuveen Virginia Dividend Advantage Municipal Fund,15.95,50178700,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/ngb,,
GIG,"GigOptix, Inc.",2.3,49916900,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/gig,,
BKJ,"Bancorp of New Jersey, Inc",9.53,49622710,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bkj,,
EIA,Eaton Vance California Municipal Bond Fund II,12.7,49288700,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eia,,
CUR,"Neuralstem, Inc.",0.9,48685500,n/a,1973,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cur,,
CONM,"Conmed Healthcare Management, Inc.",3.44,47846960,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/conm,,
NXM,Nuveen Pennsylvania Dividend Advantage Municipal Fund,14.4,47836800,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nxm,,
STS,"Supreme Industries, Inc.",3.54,47747520,n/a,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/sts,,
PCYG,"Park City Group, Inc.",4,47640000,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/pcyg,,
ITI,"Iteris, Inc.",1.4,47597200,n/a,n/a,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/iti,,
NBJ,Nuveen Ohio Dividend Advantage Municipal Fund 2,15.109,47170298,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nbj,,
TGC,"Tengasco, Inc.",0.77,46767490,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/tgc,,
BWL/A,"Bowl America, Inc.",12.55,46221650,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/bwl/a,,
OESX,"Orion Energy Systems, Inc.",1.98,45561780,n/a,2007,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/oesx,,
BVX,Bovie Medical Corporation,2.55,45316050,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/bvx,,
ADK,Adcare Health Systems Inc,3.4,45288000,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/adk,,
GGR,GeoGlobal Resources Inc.,0.33,44381700,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ggr,,
PCG^D,Pacific Gas & Electric Co.,24.96,44378880,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^d,,
NXE,Nuveen Arizona Dividend Advantage Municipal Fund 3,14.31,43874460,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nxe,,
MGN,"Mines Management, Inc.",1.5,43408500,n/a,1985,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mgn,,
SAL,"Salisbury Bancorp, Inc.",25.5,43069500,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/sal,,
IBIO,"iBio, Inc.",0.9,42990300,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ibio,,
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,14.54,42980240,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip,,
IDN,"Intellicheck Mobilisia, Inc.",1.56,42842280,n/a,1999,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/idn,,
EVO,Eaton Vance Ohio Municipal Income Trust,14.74,42082700,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo,,
HH,"Hooper Holmes, Inc.",0.6,41802000,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/hh,,
GVP,"GSE Systems, Inc.",2.27,41772540,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gvp,,
ONP,"Orient Paper, Inc.",2.24,41350400,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/onp,,
HKN,"HKN, Inc.",2.35,41266000,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/hkn,,
BTC,Community Bankers Trust Corporation.,1.9,41093200,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/btc,,
XPL,Solitario Exploration & Royalty Corp,1.2,41076000,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/xpl,,
MMV,Eaton Vance Massachusetts Municipal Income Trust,14.95,41067650,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv,,
INFU,"InfuSystems Holdings, Inc.",1.93,40786690,n/a,1992,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/infu,,
ALN,American Lorain Corporation,1.18,40719440,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/aln,,
NGX,Nuveen Massachusetts AMT-Free Municipal Income Fund,14.83,40441410,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ngx,,
NOM,Nuveen Missouri Premium Income Municipal Fund,17.39,40379580,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/nom,,
EXE,"Crexendo, Inc.",3.8,40367400,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/exe,,
WYY,WidePoint Corporation,0.6318,39946818.6,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/wyy,,
CRF,"Cornerstone Strategic Return Fund, Inc. (The)",6.05,39851350,n/a,1994,n/a,n/a,http://www.nasdaq.com/symbol/crf,,
TF,Thai Capital Fund Inc,11.095,39553675,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/tf,,
IG,"IGI Laboratories, Inc.",1,39512000,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/ig,,
SCE^D,Southern California Edison Company,23.75,39258750,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^d,,
HEB,"Hemispherx BioPharma, Inc.",0.287,39017650,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/heb,,
CEP,"Constellation Energy Partners, LLC",1.63,38626110,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/cep,,
NFC,Nuveen Connecticut Dividend Advantage Municipal Fund,14.83,38350380,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nfc,,
BLJ,Blackrock New Jersey Municipal Bond Trust,16.43,38134030,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/blj,,
EMJ,Eaton Vance New Jersey Municipal Bond Fund,14.6882,38115879,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj,,
IPB,"Merrill Lynch & Co., Inc.",25.3,37950000,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ipb,,
DXR,Daxor Corporation,8.96,37596160,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/dxr,,
EVP,Eaton Vance Pennsylvania Municipal Income Trust,13.8346,37588608.2,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp,,
GSB,"GlobalSCAPE, Inc.",2.04,37307520,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb,,
APTS,"Preferred Apartment Communities, Inc.",7.2,37281600,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/apts,,
VMV,Invesco Van Kampen Massachusetts Value Municipal Income Trust,13.71,37030710,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vmv,,
NRB,Nuveen North Carolina Dividend Advantage Municipal Fund,16.17,36738240,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nrb,,
CTP,CTPartners Executive Search Inc.,5.13,36592290,n/a,2010,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/ctp,,
ASM,Avino Silver,1.35,36541800,n/a,1992,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/asm,,
NKR,Nuveen Arizona Dividend Advantage Municipal Fund 2,14.95,36478000,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nkr,,
NYV,Nuveen New York Municipal Value Fund 2,15.52,36425440,n/a,2009,n/a,n/a,http://www.nasdaq.com/symbol/nyv,,
ESA,Energy Services Acquisition Corp,2.51,36261970,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/esa,,
EIO,Eaton Vance Ohio Municipal Bond Fund,14.32,36243920,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio,,
MHE,Massachusetts Health and Education Tax-Exempt Trust,15.37,36211720,n/a,1993,n/a,n/a,http://www.nasdaq.com/symbol/mhe,,
COVR,Cover-All Technologies Inc.,1.4,36201200,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/covr,,
NBY,"NovaBay Pharmaceuticals, Inc.",1.23,35597430,n/a,2007,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/nby,,
NYH,Eaton Vance New York Municipal Bond Fund II,13.8699,35562423.6,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh,,
JFP,Nuveen Tax-Advantaged Floating Rate Fund,2.54,35516820,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/jfp,,
RNN,"Rexahn Pharmaceuticals, Inc.",0.37,35278020,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/rnn,,
BZM,BlackRock Maryland Municipal Bond Trust,16.8472,34873704,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bzm,,
DIT,AMCON Distributing Company,57.12,34728960,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/dit,,
IDI,SearchMedia Holdings Limited,1.85,34175050,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/idi,,
NLP,NTS Realty Holdings Limited Partnership,3.07,34061650,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nlp,,
NGK,Nuveen Connecticut Dividend Advantage Municipal Fund 2,14.66,34011200,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/ngk,,
MCZ,Mad Catz Interactive Inc,0.53,33634860,n/a,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/mcz,,
NVJ,Nuveen Ohio Dividend Advantage Municipal Fund 3,15.55,33556900,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nvj,,
CNR,China Metro-Rural Holdings Limited,0.51,33478440,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/cnr,,
AXK,Accelr8 Technology Corporation,2.99,33197970,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axk,,
BHV,BlackRock Virginia Municipal Bond Trust,20.675,32645825,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/bhv,,
PCG^B,Pacific Gas & Electric Co.,27.62,32398260,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^b,,
CCA,MFS California Insured Municipal Trust,11.6,32317600,n/a,1984,n/a,n/a,http://www.nasdaq.com/symbol/cca,,
SCE^E,Southern California Edison Company,24.7,32035900,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^e,,
LEI,"Lucas Energy, Inc.",1.61,31461010,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/lei,,
UQM,UQM TECHNOLOGIES INC,0.86,31442460,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/uqm,,
GSX,GASCO ENERGY INC,0.185,31357500,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gsx,,
ACU,Acme United Corporation.,10.1,31340300,n/a,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu,,
ROX,"Castle Brands, Inc.",0.2899,31324274.8,n/a,2006,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/rox,,
SIM,"Grupo Simec, S.A. de C.V.",9.3,30717900,n/a,1993,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/sim,,
CXM,"Cardium Therapeutics, Inc.",0.256,30621952,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cxm,,
PCG^E,Pacific Gas & Electric Co.,25.02,30499380,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/pcg^e,,
NZX,Nuveen Georgia Dividend Advantage Municipal Fund,15.44,30447680,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nzx,,
BPS,BlackRock Pennsylvania Strategic Municipal Trust (The),14.964,30332028,n/a,1994,n/a,n/a,http://www.nasdaq.com/symbol/bps,,
VSR,"Versar, Inc.",3.1,30011100,n/a,1986,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/vsr,,
APT,"Alpha Pro Tech, Ltd.",1.43,29988530,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/apt,,
DEJ,Dejour Energy Inc.,0.229,29949994,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/dej,,
WTT,"Wireless Telecom Group,  Inc.",1.23,29806590,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/wtt,,
NZW,Nuveen Michigan Dividend Advantage Municipal Fund,14.51,29789030,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nzw,,
HTM,U.S. Geothermal Inc.,0.35,29746500,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/htm,,
QBC,Cubic Energy Inc,0.38,29342080,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/qbc,,
ISR,"IsoRay, Inc.",0.99,29022840,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/isr,,
FPP,FieldPoint Petroleum Corporation,3.59,28755900,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp,,
EMI,Eaton Vance Michigan Municipal Income Trust,13.58,28735280,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi,,
ESTE,"Earthstone Energy, Inc.",16.805,28686135,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/este,,
NMB,Nuveen Massachusetts Dividend Advantage Municipal Fund,14.58,28664280,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nmb,,
ICH,"Investors Capital Holdings, Ltd.",4.25,28283750,n/a,1997,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/ich,,
MAB,Eaton Vance Massachusetts Municipal Bond Fund,15.75,27814500,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab,,
RIF,RMR Real Estate Income Fund.,15.82,27764100,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/rif,,
NTS,"NTS, Inc.",0.67,27595290,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/nts,,
SCE^C,Southern California Edison Company,22.38,26856000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^c,,
ECBE,ECB Bancorp Inc,9.4,26790000,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ecbe,,
SGB,Southwest Georgia Financial Corporation,10.5,26754000,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sgb,,
KXM,Kobex Minerals Inc.,0.58,26727560,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/kxm,,
BRN,"Barnwell Industries, Inc.",3.15,26072550,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/brn,,
FWV,"First West Virginia Bancorp, Inc.",15.68,25919040,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fwv,,
NJV,Nuveen New Jersey Municipal Value Fund,16.54,25818940,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/njv,,
CIX,CompX International Inc.,10.74,25625640,n/a,1998,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/cix,,
CAW,"CCA Industries, Inc.",4.2,25565400,n/a,n/a,Consumer Non-Durables,Package Goods/Cosmetics,http://www.nasdaq.com/symbol/caw,,
SHZ,"China Shen Zhou Mining & Resources, Inc.",0.66,25309680,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/shz,,
MXN,"First American Minnesota Municipal Income Fund II, Inc.",16.7818,24719591.4,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/mxn,,
MGH,Minco Gold Corporation,0.49,24670520,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/mgh,,
RVP,"Retractable Technologies, Inc.",0.97,24559430,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/rvp,,
EVK,"Ever-Glory International Group, Inc.",1.63,24068580,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk,,
PDO,Pyramid Oil Co,5.12,23982080,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/pdo,,
WGA,Wells-Gardner Electronics Corporation,2.05,23911200,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/wga,,
CKX,"CKX Lands, Inc.",12.3,23886600,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ckx,,
CBP,China Botanic Pharmaceutical Inc.,0.64,23833600,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbp,,
MIW,Eaton Vance Michigan Municipal Bond Fund,15.62,23633060,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw,,
ANX,"ADVENTRX Pharmaceuticals, Inc.",0.48,22903680,n/a,n/a,Consumer Durables,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anx,,
NFZ,Nuveen Arizona Dividend Advantage Municipal Fund,14.6375,22658850,n/a,2001,n/a,n/a,http://www.nasdaq.com/symbol/nfz,,
CMFO,China Marine Food Group Limited,0.76,22570480,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/cmfo,,
CRVP,"Crystal Rock Holdings, Inc.",1.04,22244560,n/a,n/a,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/crvp,,
ELMD,"Electromed, Inc.",2.7,21907800,n/a,2010,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd,,
SCE^B,Southern California Edison Company,21.89,21890000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sce^b,,
RWC,RELM Wireless Corporation,1.59,21533370,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/rwc,,
SDO^H,San Diego Gas & Electric Company,32.25,20640000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sdo^h,,
API,"Advanced Photonix, Inc.",0.65,20129850,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/api,,
