Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote,,,,,
COO,"Cooper Companies, Inc. (The)",78.95,3738677250,n/a,n/a,Health Care,Ophthalmic Goods,http://www.nasdaq.com/symbol/coo,,,,,
NFG,National Fuel Gas Company,44.64,3714762240,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/nfg,,,,,
GRA,W.R. Grace & Co.,49.4,3686129200,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/gra,,,,,
SIG,Signet Jewelers Limited,43.2,3676492800,n/a,n/a,Consumer Services,Consumer Specialties,http://www.nasdaq.com/symbol/sig,,,,,
WCN,"Waste Connections, Inc.",29.8,3675979000,n/a,n/a,Public Utilities,Environmental Services,http://www.nasdaq.com/symbol/wcn,,,,,
SNA,Snap-On Incorporated,63.19,3671654950,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/sna,,,,,
HCS^B,HSBC Holdings plc,26.89,3657040000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hcs^b,,,,,
C^P,Citigroup Inc.,28.05,3646500000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^p,,,,,
LSI,LSI Logic Corporation,6.4,3640998400,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/lsi,,,,,
NFX,Newfield Exploration Company,26.97,3635771760,n/a,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nfx,,,,,
STR,Questar Corporation,20.25,3608509500,n/a,n/a,Public Utilities,Oil & Gas Production,http://www.nasdaq.com/symbol/str,,,,,
GM^B,General Motors Company,35.85,3585000000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gm^b,,,,,
RS,Reliance Steel & Aluminum Co.,47.57,3574219520,n/a,1994,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/rs,,,,,
ITC,ITC Holdings Corp.,69.5,3570562500,n/a,2005,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/itc,,,,,
LM,"Legg Mason, Inc.",25.46,3566385880,n/a,1983,Finance,Investment Managers,http://www.nasdaq.com/symbol/lm,,,,,
ROC,"Rockwood Holdings, Inc.",45.94,3564530540,n/a,1989,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/roc,,,,,
TW,Towers Watson & Co,60.31,3561908600,n/a,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/tw,,,,,
RAH,"Ralcorp Holdings, Inc.",64.35,3556881900,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/rah,,,,,
NS,Nustar Energy L.P.,50.26,3556196560,n/a,1993,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/ns,,,,,
UHS,"Universal Health Services, Inc.",39.42,3528090000,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/uhs,,,,,
OIS,"Oil States International, Inc.",68.32,3527976480,n/a,2001,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/ois,,,,,
WAB,Westinghouse Air Brake Technologies Corporation,73.23,3527489100,n/a,1995,Capital Goods,Railroads,http://www.nasdaq.com/symbol/wab,,,,,
SNH,Senior Housing Properties Trust,21.59,3511980530,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/snh,,,,,
FBHS,"Fortune Brands Home & Security, Inc.",21.97,3507027160,n/a,n/a,Basic Industries,Homebuilding,http://www.nasdaq.com/symbol/fbhs,,,,,
TNH,"Terra Nitrogen Company, L.P.",189.53,3506684060,n/a,n/a,Basic Industries,Agricultural Chemicals,http://www.nasdaq.com/symbol/tnh,,,,,
CBI,Chicago Bridge & Iron Company N.V.,36.14,3504784920,n/a,1997,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/cbi,,,,,
ATR,"AptarGroup, Inc.",52.27,3479770710,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/atr,,,,,
OCR,"Omnicare, Inc.",30.71,3469492960,n/a,1981,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/ocr,,,,,
N,Netsuite Inc,49.38,3466624140,n/a,2007,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/n,,,,,
PHM,"PulteGroup, Inc.",9.02,3460513980,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/phm,,,,,
GFI,Gold Fields Ltd.,13.57,3447580630,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gfi,,,,,
G,Genpact Limited,15.46,3445601120,n/a,2007,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/g,,,,,
OC,Owens Corning Inc,28.19,3429228930,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/oc,,,,,
NRG,"NRG Energy, Inc.",15.02,3420339380,n/a,1993,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/nrg,,,,,
CFR,"Cullen/Frost Bankers, Inc.",55.68,3417248640,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cfr,,,,,
ALSN,"Allison Transmission Holdings, Inc.",18.82,3413477500,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/alsn,,,,,
WSM,"Williams-Sonoma, Inc.",34.19,3404776960,n/a,1983,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/wsm,,,,,
SOA,Solutia Inc,27.65,3396470700,n/a,1994,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/soa,,,,,
RPM,RPM International Inc.,25.7,3380141100,n/a,n/a,Basic Industries,Paints/Coatings,http://www.nasdaq.com/symbol/rpm,,,,,
GIL,"Gildan Activewear, Inc.",27.59,3347522290,n/a,1998,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/gil,,,,,
SPW,SPX Corporation,65.98,3342084940,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/spw,,,,,
WLK,Westlake Chemical Corporation,50.11,3338227980,n/a,2004,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/wlk,,,,,
SWI,"Solarwinds, Inc.",45.13,3337859930,n/a,1994,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/swi,,,,,
WTM,"White Mountains Insurance Group, Ltd.",502.38,3335300820,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/wtm,,,,,
WTR,"Aqua America, Inc.",23.93,3328567280,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/wtr,,,,,
NCR,NCR Corporation,20.96,3328448000,n/a,n/a,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/ncr,,,,,
AIV,Apartment Investment and Management Company,27.39,3323831280,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiv,,,,,
BMS,"Bemis Company, Inc.",32.16,3315470880,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/bms,,,,,
SXL,Sunoco Logistics Partners LP,33.17,3303732000,n/a,2002,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/sxl,,,,,
ACC,American Campus Communities Inc,44.21,3302487000,n/a,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/acc,,,,,
SI,Siemens AG,84.3,3284918100,n/a,1988,Energy,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/si,,,,,
PAY,"Verifone Systems, Inc.",30.46,3282917880,n/a,1992,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/pay,,,,,
WBC,Wabco Holdings Inc.,50.9,3279487000,n/a,n/a,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/wbc,,,,,
DRC,Dresser-Rand Group Inc.,43.33,3277351210,n/a,1980,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/drc,,,,,
URI,"United Rentals, Inc.",34.81,3262915350,n/a,1972,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/uri,,,,,
STZ,Constellation Brands Inc,19.66,3250073240,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/stz,,,,,
EGN,Energen Corporation,44.93,3240621180,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/egn,,,,,
KRC,Kilroy Realty Corporation,47.4,3239790000,n/a,1997,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/krc,,,,,
GPN,Global Payments Inc.,41.13,3231131670,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/gpn,,,,,
UGI,UGI Corporation,28.73,3227671850,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/ugi,,,,,
IEX,IDEX Corporation,38.41,3227131380,n/a,1989,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/iex,,,,,
HCC,"HCC Insurance Holdings, Inc.",31.85,3223220000,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/hcc,,,,,
DNB,Dun & Bradstreet Corporation (The),67.39,3221242000,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/dnb,,,,,
CSL,Carlisle Companies Incorporated,51.71,3212380330,n/a,n/a,Basic Industries,Specialty Chemicals,http://www.nasdaq.com/symbol/csl,,,,,
JAH,Jarden Corporation,40.21,3202927550,n/a,n/a,Consumer Durables,Consumer Specialties,http://www.nasdaq.com/symbol/jah,,,,,
TSO,Tesoro Petroleum Corporation,22.8,3199615200,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/tso,,,,,
PHI,Philippine Long Distance Telephone Company,56.01,3199515240,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/phi,,,,,
ROL,"Rollins, Inc.",21.77,3195901310,n/a,n/a,Finance,Diversified Commercial Services,http://www.nasdaq.com/symbol/rol,,,,,
BSBR,Banco Santander Brasil SA,7.82,3179197540,n/a,2009,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bsbr,,,,,
SD,Sandridge Energy Inc.,6.48,3171506400,n/a,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sd,,,,,
NGLS,Targa Resources Partners LP,35.55,3170029050,n/a,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/ngls,,,,,
TEF,Telefonica SA,12.52,3162739800,n/a,1988,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/tef,,,,,
ATI,Allegheny Technologies Incorporated,29.49,3158644410,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/ati,,,,,
OI,"Owens-Illinois, Inc.",19.09,3148437340,n/a,1991,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/oi,,,,,
DEI,"Douglas Emmett, Inc.",22.51,3143116320,n/a,2006,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/dei,,,,,
FLO,"Flowers Foods, Inc.",23.03,3129915180,n/a,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/flo,,,,,
VR,"Validus Holdings, Ltd.",31.5,3129304500,n/a,2007,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/vr,,,,,
MD,"Mednax, Inc",63.58,3128136000,n/a,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/md,,,,,
HUN,Huntsman Corporation,13.04,3120850160,n/a,2005,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/hun,,,,,
MSM,"MSC Industrial Direct Company, Inc.",65.96,3117401520,n/a,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/msm,,,,,
FLT,"FleetCor Technologies, Inc.",37.45,3111645600,n/a,2010,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/flt,,,,,
TM,Toyota Motor Corp Ltd Ord,76.5,3109342500,n/a,1979,Capital Goods,Auto Manufacturing,http://www.nasdaq.com/symbol/tm,,,,,
MLM,"Martin Marietta Materials, Inc.",67.96,3109034080,n/a,1994,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/mlm,,,,,
SFD,"Smithfield Foods, Inc.",19.22,3095707740,n/a,1972,Consumer Non-Durables,Meat/Poultry/Fish,http://www.nasdaq.com/symbol/sfd,,,,,
ATO,Atmos Energy Corporation,34.35,3092530500,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/ato,,,,,
JLL,Jones Lang LaSalle Incorporated,70.66,3091163020,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/jll,,,,,
SPN,"Superior Energy Services, Inc.",19.59,3086130240,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/spn,,,,,
UPL,Ultra Petroleum Corp.,20.17,3084235040,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/upl,,,,,
SON,Sonoco Products Company,30.56,3073847040,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/son,,,,,
CRI,"Carter&#39;s, Inc.",52.14,3073079460,n/a,2003,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/cri,,,,,
WRI,Weingarten Realty Investors,25.27,3062572380,n/a,1985,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/wri,,,,,
VNTV,"Vantiv, Inc.",23.66,3058480880,n/a,1995,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/vntv,,,,,
CLH,"Clean Harbors, Inc.",57.26,3051786220,n/a,1997,Basic Industries,Environmental Services,http://www.nasdaq.com/symbol/clh,,,,,
GCI,"Gannett Co., Inc.",12.97,3047379320,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/gci,,,,,
C^H,Citigroup Inc.,86.65,3032750000,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/c^h,,,,,
EXR,Extra Space Storage Inc,29.19,3031673400,n/a,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/exr,,,,,
CX,Cemex S.A.B. de C.V.,5.5,3019318500,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/cx,,,,,
SM,SM Energy Company,47.02,3016568100,n/a,1997,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/sm,,,,,
SEE,Sealed Air Corporation,15.54,3016267380,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/see,,,,,
DF,Dean Foods Company,16.34,3014746340,n/a,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/df,,,,,
PBI,Pitney Bowes Inc,15.04,3011233600,n/a,n/a,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/pbi,,,,,
TUP,Tupperware Corporation,53.72,3003700080,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/tup,,,,,
VMI,"Valmont Industries, Inc.",112.92,2997687240,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/vmi,,,,,
CIB,BanColombia S.A.,61.53,2989927290,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/cib,,,,,
AGP,AMERIGROUP Corporation,61.62,2988631620,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/agp,,,,,
ABB,ABB Ltd,16,2983344000,n/a,n/a,Consumer Durables,Electrical Products,http://www.nasdaq.com/symbol/abb,,,,,
DDS,"Dillard&#39;s, Inc.",66.29,2972377310,n/a,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/dds,,,,,
HME,"Home Properties, Inc.",60.53,2945510860,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hme,,,,,
WPX,"WPX Energy, Inc.",14.79,2939039220,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/wpx,,,,,
WTW,Weight Watchers International Inc,52.89,2937510600,n/a,2001,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/wtw,,,,,
IOC,InterOil Corporation,60.86,2928644060,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ioc,,,,,
EV,Eaton Vance Corporation,25.34,2925122900,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/ev,,,,,
NNN,National Retail Properties,27.24,2915143080,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nnn,,,,,
PKI,"PerkinElmer, Inc.",25.56,2910926160,n/a,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/pki,,,,,
MAN,ManpowerGroup,36.25,2906923750,n/a,n/a,Technology,Professional Services,http://www.nasdaq.com/symbol/man,,,,,
AIZ,"Assurant, Inc.",33.86,2903495000,n/a,2004,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/aiz,,,,,
SLH,"Solera Holdings, Inc.",41.78,2903125080,n/a,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/slh,,,,,
C^I,Citigroup Inc.,50.05,2902900000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/c^i,,,,,
CIM,Chimera Investment Corporation,2.82,2896918320,n/a,1987,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cim,,,,,
WLT,"Walter Energy, Inc.",46.31,2894050830,n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/wlt,,,,,
PDM,"Piedmont Office Realty Trust, Inc.",16.71,2886385140,n/a,n/a,Consumer Services,Building operators,http://www.nasdaq.com/symbol/pdm,,,,,
AWI,Armstrong World Industries Inc,49.1,2885361500,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/awi,,,,,
AVY,Avery Dennison Corporation,27.81,2882200590,n/a,n/a,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/avy,,,,,
LEG,"Leggett & Platt, Incorporated",20.55,2880657900,n/a,n/a,Consumer Durables,Home Furnishings,http://www.nasdaq.com/symbol/leg,,,,,
BWC,Babcock & Wilcox Company (The),24.23,2874017220,n/a,1993,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/bwc,,,,,
KEX,Kirby Corporation,51.4,2871923600,n/a,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/kex,,,,,
HTS,Hatteras Financial Corp,29.37,2871769230,n/a,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hts,,,,,
SKT,"Tanger Factory Outlet Centers, Inc.",30.93,2865014970,n/a,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/skt,,,,,
SEP,"Spectra Energy Partners, LP",29.75,2864925000,n/a,2007,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/sep,,,,,
GXP,Great Plains Energy Inc,20.96,2857057600,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/gxp,,,,,
HPT,Hospitality Properites Trust,23.1,2854120500,n/a,1995,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hpt,,,,,
ELS,"Equity Lifestyle Properties, Inc.",68.82,2842954200,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/els,,,,,
LAZ,Lazard Ltd.,23.09,2842263550,n/a,2005,Finance,Investment Managers,http://www.nasdaq.com/symbol/laz,,,,,
GGG,Graco Inc.,46.99,2840357540,n/a,n/a,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/ggg,,,,,
HBI,Hanesbrands Inc.,29.04,2833113360,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/hbi,,,,,
CFX,Colfax Corporation,30.12,2824894560,n/a,1999,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/cfx,,,,,
BMR,Biomed Realty Trust,18.3,2821128000,n/a,2004,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/bmr,,,,,
KKR,KKR & Co. L.P.,12.02,2792678720,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/kkr,,,,,
MFA,"America First Mortgage Investments, Inc.",7.82,2791278620,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mfa,,,,,
UFS,Domtar Corporation,77.2,2789930800,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/ufs,,,,,
MAA,"Mid-America Apartment Communities, Inc.",68.05,2785762850,n/a,1994,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/maa,,,,,
NUS,"Nu Skin Enterprises, Inc.",44.13,2785044300,n/a,1996,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/nus,,,,,
BAC^H,Bank of America Corporation,25.75,2781000000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bac^h,,,,,
AWH,"Allied World Assurance Company Holdings, AG",76.21,2770843180,n/a,2006,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/awh,,,,,
CBL,"CBL & Associates Properties, Inc.",18.63,2770597710,n/a,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cbl,,,,,
WFC^J,Wells Fargo & Company,29.96,2756320000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wfc^j,,,,,
INT,World Fuel Services Corporation,38.3,2753272100,n/a,n/a,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/int,,,,,
TGI,"Triumph Group, Inc.",55.18,2749398680,n/a,1996,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/tgi,,,,,
BSAC,"Banco Santiago, S.A.",74.58,2745886440,n/a,n/a,Finance,Commercial Banks,http://www.nasdaq.com/symbol/bsac,,,,,
X,United States Steel Corporation,19.02,2739013140,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/x,,,,,
SIX,Six Flags Entertainment Corporation New,50.6,2738674400,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/six,,,,,
HE,"Hawaiian Electric Industries, Inc.",28.35,2738666700,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/he,,,,,
NEU,NewMarket Corporation,204.11,2736094550,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/neu,,,,,
SPR,"Spirit Aerosystems Holdings, Inc.",23.02,2733279700,n/a,2006,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/spr,,,,,
CYT,Cytec Industries Inc.,59.33,2728349380,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/cyt,,,,,
JEF,"Jefferies Group, Inc.",13.23,2724295140,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/jef,,,,,
ORI,Old Republic International Corporation,10.5,2724256500,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ori,,,,,
PKG,Packaging Corporation of America,27.69,2714838360,n/a,2000,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/pkg,,,,,
SAP,SAP AG,58.88,2709127680,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/sap,,,,,
CVC,Cablevision Systems Corporation,12.46,2703346520,n/a,1986,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cvc,,,,,
GT,Goodyear Tire & Rubber Company (The),11.02,2699900000,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/gt,,,,,
TER,"Teradyne, Inc.",14.46,2699262660,n/a,1970,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/ter,,,,,
DNP,"Duff & Phelps Utilities Income, Inc.",11.122,2690000286,n/a,1987,n/a,n/a,http://www.nasdaq.com/symbol/dnp,,,,,
BCS^D,Barclays PLC,25.33,2684980000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bcs^d,,,,,
CXW,Corrections Corporation of America,26.8,2679196000,n/a,n/a,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/cxw,,,,,
KOF,Coca Cola Femsa S.A.B. de C.V.,121.77,2677722300,n/a,1993,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/kof,,,,,
ANF,Abercrombie & Fitch Company,31.54,2675916680,n/a,1996,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/anf,,,,,
PRA,ProAssurance Corporation,86.83,2661339500,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pra,,,,,
CEO,CNOOC Limited,198.27,2646111420,n/a,2001,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ceo,,,,,
GNW,Genworth Financial Inc,5.37,2639371110,n/a,2004,Finance,Life Insurance,http://www.nasdaq.com/symbol/gnw,,,,,
BML^Q,Bank of America Corporation,25.77,2628540000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bml^q,,,,,
YPF,YPF Sociedad Anonima,11.17,2624168100,n/a,1993,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/ypf,,,,,
HAR,"Harman International Industries, Incorporated",37.23,2624007630,n/a,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/har,,,,,
GES,"Guess?, Inc.",29.03,2611858130,n/a,1996,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/ges,,,,,
IM,Ingram Micro Inc.,17.12,2608009440,n/a,1996,Technology,Retail: Computer Software & Peripheral Equipment,http://www.nasdaq.com/symbol/im,,,,,
CYN,City National Corporation,48.88,2605304000,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/cyn,,,,,
PPS,"Post Properties, Inc.",48.36,2597028720,n/a,1993,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/pps,,,,,
CVD,Covance Inc.,46.7,2589748500,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/cvd,,,,,
URS,URS Corporation,34.19,2589277080,n/a,n/a,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/urs,,,,,
GGB,Gerdau S.A.,8.69,2588985630,n/a,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/ggb,,,,,
WDR,"Waddell & Reed Financial, Inc.",29.94,2584929780,n/a,1998,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/wdr,,,,,
BR,"Broadridge Financial Solutions, Inc.",20.65,2579081750,n/a,1988,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/br,,,,,
RBC,Regal Beloit Corporation,61.84,2574832080,n/a,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/rbc,,,,,
ERJ,Embraer-Empresa Brasileira de Aeronautica,26.73,2549721240,n/a,2000,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/erj,,,,,
ATW,"Atwood Oceanics, Inc.",38.94,2545157340,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/atw,,,,,
MR,Mindray Medical International Limited,30.87,2534859180,n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mr,,,,,
CPA,"Copa Holdings, S.A.",76.73,2528867340,n/a,1991,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/cpa,,,,,
CNL,Cleco Corporation,41.51,2528789200,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cnl,,,,,
